Id,SoilPh,RelativeHumidity,SoilTemperature,Crop
1,7.2,76,30,Corn
2,6.5,71,28,Corn
3,5.8,78,26,Corn
4,6.6,82,28,Corn
5,5.8,77,29,Corn
6,6,87,31,Corn
7,6.9,81,26,Corn
8,7.4,83,29,Corn
9,5.6,78,29,Corn
10,6.9,76,31,Corn
11,7.2,74,28,Corn
12,5.5,89,26,Corn
13,5.9,73,32,Corn
14,5.7,72,28,Corn
15,6.9,71,26,Corn
16,5.9,86,31,Corn
17,6.8,81,31,Corn
18,7.2,85,27,Corn
19,6.9,86,27,Corn
20,6.4,85,29,Corn
21,6.3,86,30,Corn
22,6.6,75,32,Corn
23,5.8,72,29,Corn
24,7.1,81,31,Corn
25,6.1,77,29,Corn
26,6.3,81,31,Corn
27,6.8,76,31,Corn
28,6,73,28,Corn
29,5.9,80,27,Corn
30,6,80,25,Corn
31,6.3,87,31,Corn
32,6.2,73,26,Corn
33,6.8,87,29,Corn
34,6.9,84,29,Corn
35,6.3,86,26,Corn
36,6.5,72,32,Corn
37,6.8,89,25,Corn
38,6.1,75,25,Corn
39,5.9,72,32,Corn
40,5.8,73,30,Corn
41,5.9,76,29,Corn
42,7.3,73,33,Corn
43,6.6,77,25,Corn
44,6.4,79,28,Corn
45,6.1,83,32,Corn
46,6.4,73,32,Corn
47,7,78,32,Corn
48,7.4,78,30,Corn
49,5.9,77,25,Corn
50,5.8,88,30,Corn
51,7.1,73,29,Corn
52,5.9,85,29,Corn
53,6.1,79,32,Corn
54,7.3,70,31,Corn
55,7.1,85,30,Corn
56,6.3,86,26,Corn
57,5.6,78,28,Corn
58,6.4,79,29,Corn
59,6.3,80,25,Corn
60,6.5,87,29,Corn
61,5.5,89,27,Corn
62,7,89,32,Corn
63,6.8,90,27,Corn
64,5.5,87,27,Corn
65,7.1,86,28,Corn
66,7.4,89,31,Corn
67,5.7,75,31,Corn
68,6.6,83,32,Corn
69,7.2,84,30,Corn
70,7.2,90,30,Corn
71,6.4,84,31,Corn
72,6.1,88,26,Corn
73,7.3,80,29,Corn
74,6.4,86,28,Corn
75,5.8,86,32,Corn
76,6.9,78,27,Corn
77,6,76,31,Corn
78,6.7,81,33,Corn
79,6.8,90,32,Corn
80,7.3,72,30,Corn
81,6.9,84,30,Corn
82,6.7,73,27,Corn
83,7.2,71,29,Corn
84,5.6,87,26,Corn
85,6.4,85,25,Corn
86,7.4,90,26,Corn
87,6.9,81,32,Corn
88,5.6,86,27,Corn
89,6.2,87,26,Corn
90,7.4,83,26,Corn
91,5.9,84,32,Corn
92,6.6,87,31,Corn
93,7.2,70,30,Corn
94,5.7,73,28,Corn
95,6.1,75,30,Corn
96,5.7,87,28,Corn
97,7.5,84,30,Corn
98,6.1,89,28,Corn
99,5.6,73,29,Corn
100,5.7,83,29,Corn
101,5.8,81,26,Corn
102,6.7,88,32,Corn
103,6,82,32,Corn
104,6.7,89,29,Corn
105,7,76,27,Corn
106,6.4,77,26,Corn
107,6.9,85,30,Corn
108,7,75,33,Corn
109,6.6,73,26,Corn
110,5.8,74,31,Corn
111,6.7,74,28,Corn
112,7.1,82,31,Corn
113,6.9,73,30,Corn
114,6.6,73,32,Corn
115,6.1,77,31,Corn
116,6.1,86,28,Corn
117,6.6,79,32,Corn
118,6.4,86,27,Corn
119,6.3,86,31,Corn
120,6.4,76,30,Corn
121,6,77,26,Corn
122,6.3,72,28,Corn
123,6,72,32,Corn
124,5.8,71,27,Corn
125,5.7,75,26,Corn
126,5.6,82,26,Corn
127,6.6,72,26,Corn
128,6.6,82,31,Corn
129,6.1,81,31,Corn
130,5.6,81,29,Corn
131,6,71,30,Corn
132,6.8,74,27,Corn
133,5.6,80,28,Corn
134,7.3,90,31,Corn
135,5.9,77,26,Corn
136,7,79,31,Corn
137,6.7,79,30,Corn
138,7.2,72,27,Corn
139,6.4,80,29,Corn
140,5.5,84,31,Corn
141,6.5,79,26,Corn
142,5.9,73,32,Corn
143,6.1,74,29,Corn
144,5.7,79,33,Corn
145,5.7,82,30,Corn
146,6.5,81,26,Corn
147,6.6,70,29,Corn
148,5.9,84,27,Corn
149,5.7,85,28,Corn
150,6,79,33,Corn
151,5.6,86,33,Corn
152,6.3,77,32,Corn
153,5.6,81,32,Corn
154,6.1,83,32,Corn
155,7.1,78,27,Corn
156,7.3,90,28,Corn
157,7,87,31,Corn
158,5.8,83,25,Corn
159,5.8,77,29,Corn
160,5.7,83,27,Corn
161,7.4,85,25,Corn
162,6.1,75,25,Corn
163,6.9,81,30,Corn
164,6.2,73,25,Corn
165,6.1,78,29,Corn
166,6.1,89,26,Corn
167,5.7,77,31,Corn
168,7.3,75,25,Corn
169,7.2,82,27,Corn
170,6.8,71,26,Corn
171,6.3,79,27,Corn
172,6,81,33,Corn
173,5.8,76,29,Corn
174,6.8,78,31,Corn
175,5.9,86,32,Corn
176,6.6,86,27,Corn
177,5.7,80,32,Corn
178,7.2,70,31,Corn
179,7.2,76,33,Corn
180,6.2,73,27,Corn
181,7.4,78,27,Corn
182,7.3,85,29,Corn
183,6.9,88,25,Corn
184,6.8,78,29,Corn
185,7,76,30,Corn
186,6.3,85,30,Corn
187,6.7,85,32,Corn
188,7.1,75,29,Corn
189,6.8,79,33,Corn
190,7.1,77,26,Corn
191,6.7,90,29,Corn
192,5.8,76,31,Corn
193,6.8,82,32,Corn
194,6.6,71,27,Corn
195,5.6,70,27,Corn
196,7.5,86,28,Corn
197,6.3,79,28,Corn
198,6.8,83,25,Corn
199,7.1,80,33,Corn
200,6.6,89,27,Corn
201,6.3,77,32,Corn
202,7,85,32,Corn
203,7.1,78,31,Corn
204,7.2,84,30,Corn
205,6.5,81,26,Corn
206,6.2,74,26,Corn
207,5.8,74,30,Corn
208,7.2,81,31,Corn
209,6.2,83,31,Corn
210,5.6,84,28,Corn
211,7.3,80,26,Corn
212,6.2,85,27,Corn
213,6.1,78,26,Corn
214,6.1,80,32,Corn
215,7.5,89,30,Corn
216,7,82,25,Corn
217,7.4,75,27,Corn
218,5.5,70,26,Corn
219,6.5,87,30,Corn
220,6.3,78,26,Corn
221,6.5,86,33,Corn
222,6.1,70,32,Corn
223,7.5,70,25,Corn
224,5.8,82,33,Corn
225,6.3,90,30,Corn
226,6.1,74,33,Corn
227,6,80,33,Corn
228,6.4,81,33,Corn
229,5.8,88,32,Corn
230,5.8,78,29,Corn
231,6.4,80,32,Corn
232,6.8,73,30,Corn
233,6.8,89,32,Corn
234,6.5,86,26,Corn
235,7.4,74,31,Corn
236,6.4,87,27,Corn
237,6,75,27,Corn
238,6.6,82,29,Corn
239,5.6,79,27,Corn
240,7.2,81,31,Corn
241,6.5,74,33,Corn
242,7.1,83,30,Corn
243,7,74,31,Corn
244,5.8,89,33,Corn
245,5.9,70,29,Corn
246,6.8,71,26,Corn
247,6.5,83,32,Corn
248,6.5,84,29,Corn
249,6.6,79,26,Corn
250,7,79,33,Corn
251,7,72,27,Corn
252,7.4,82,28,Corn
253,6.8,82,28,Corn
254,6.5,72,30,Corn
255,6.6,84,29,Corn
256,6.2,71,27,Corn
257,6,80,30,Corn
258,6.1,77,27,Corn
259,7,85,30,Corn
260,5.7,78,25,Corn
261,5.6,89,27,Corn
262,7.1,88,30,Corn
263,6.7,79,30,Corn
264,7.1,88,32,Corn
265,5.5,81,25,Corn
266,6.6,81,32,Corn
267,6.2,83,32,Corn
268,7.1,85,26,Corn
269,6,88,26,Corn
270,7.3,76,30,Corn
271,7.2,81,29,Corn
272,6.3,77,29,Corn
273,6.7,88,26,Corn
274,5.7,77,29,Corn
275,5.9,71,33,Corn
