SoilPh,RelativeHumidity,SoilTemperature,Risk
5.4,63,43,No Risk
7.6,87,11,No Risk
5.9,51,62,No Risk
7.8,66,59,No Risk
4.1,61,6,No Risk
5.9,90,6,No Risk
6.4,57,13,No Risk
4.8,82,38,No Risk
4.9,84,49,No Risk
7.1,73,36,No Risk
6.3,56,6,No Risk
5,40,6,No Risk
7.6,92,8,No Risk
6.6,82,62,No Risk
5.9,51,37,No Risk
4.9,82,15,No Risk
4.6,67,19,No Risk
4.8,41,55,No Risk
4.7,59,46,No Risk
7,67,47,No Risk
5.6,85,11,No Risk
7.1,54,46,No Risk
5.6,87,57,No Risk
7,43,14,No Risk
6.5,47,8,No Risk
5,67,31,No Risk
4.7,96,1,No Risk
7,87,49,No Risk
7.1,92,17,No Risk
5.7,86,64,No Risk
6.4,80,31,No Risk
7,77,25,No Risk
4.1,92,12,No Risk
4.8,90,31,No Risk
4,94,26,No Risk
4.7,92,9,No Risk
4.1,68,45,No Risk
5.9,91,37,No Risk
8,93,46,No Risk
5.2,45,5,No Risk
4.4,69,17,No Risk
5.2,72,56,No Risk
7.2,46,49,No Risk
5.9,64,19,No Risk
7.5,88,32,No Risk
7.2,85,52,No Risk
4.4,71,31,No Risk
4.4,94,51,No Risk
6.3,50,31,No Risk
4.1,54,48,No Risk
4.6,86,41,No Risk
4.4,93,49,No Risk
7.5,71,63,No Risk
4.3,84,29,No Risk
6.5,64,5,No Risk
7.2,74,9,No Risk
7.6,68,27,No Risk
7.6,59,4,No Risk
6.7,60,23,No Risk
6.3,92,63,No Risk
6.5,70,61,No Risk
6.4,52,55,No Risk
6.7,82,64,No Risk
7.2,60,29,No Risk
7.2,82,14,No Risk
6.9,86,52,No Risk
6,68,14,No Risk
7.6,93,21,No Risk
6,46,4,No Risk
6.6,94,58,No Risk
7.6,50,55,No Risk
6.6,97,17,No Risk
4.4,42,40,No Risk
4.8,44,14,No Risk
7.8,54,41,No Risk
5.3,92,59,No Risk
6.5,76,7,No Risk
6.9,54,27,No Risk
4.5,40,25,No Risk
4.2,72,48,No Risk
8,88,30,No Risk
6.9,48,65,No Risk
5.8,96,6,No Risk
4.7,47,44,No Risk
7.2,82,65,No Risk
4.5,46,59,No Risk
4.9,75,38,No Risk
5.6,58,63,No Risk
6.6,80,42,No Risk
4.4,67,22,No Risk
5,64,58,No Risk
6.3,44,31,No Risk
4.7,43,43,No Risk
6.3,48,38,No Risk
4,77,19,No Risk
5.8,87,28,No Risk
4.7,92,61,No Risk
6.6,92,6,No Risk
4.1,83,31,No Risk
4.3,49,36,No Risk
7.9,82,37,No Risk
4,47,10,No Risk
4,46,33,No Risk
4.4,69,8,No Risk
7.1,42,37,No Risk
6.5,59,11,No Risk
7,64,30,No Risk
7.4,83,14,No Risk
4.5,88,5,No Risk
7.4,65,37,No Risk
6.5,88,29,No Risk
5.1,47,45,No Risk
5.6,65,48,No Risk
7.3,77,64,No Risk
6.9,66,43,No Risk
5.9,58,4,No Risk
4.5,86,48,No Risk
4.9,71,28,No Risk
6,78,42,No Risk
5.4,68,31,No Risk
7.4,57,6,No Risk
4.3,89,8,No Risk
5.9,58,50,No Risk
4.9,46,45,No Risk
5.8,75,2,No Risk
6,55,6,No Risk
4.9,62,13,No Risk
6.9,47,31,No Risk
7.1,49,9,No Risk
6.9,73,17,No Risk
5,58,24,No Risk
6.8,48,11,No Risk
6.2,80,24,No Risk
4.8,68,10,No Risk
5.5,57,4,No Risk
6.1,41,7,No Risk
5,55,61,No Risk
4.8,52,51,No Risk
5.2,79,47,No Risk
6.6,71,40,No Risk
6.2,84,8,No Risk
4.3,57,23,No Risk
5.3,75,8,No Risk
4.4,76,62,No Risk
6.5,73,60,No Risk
4.9,58,22,No Risk
5.2,67,55,No Risk
5.3,49,24,No Risk
7,43,24,No Risk
4.2,57,55,No Risk
6.6,77,60,No Risk
4.6,47,56,No Risk
4.5,70,23,No Risk
6,62,64,No Risk
7.7,98,27,No Risk
4.2,50,31,No Risk
5.4,46,5,No Risk
4.5,41,37,No Risk
7.7,77,14,No Risk
4.7,91,59,No Risk
8,96,35,No Risk
4.4,52,14,No Risk
5.9,92,17,No Risk
7.4,44,31,No Risk
5.9,75,30,No Risk
6.7,47,31,No Risk
5.4,52,22,No Risk
5,46,2,No Risk
6.4,80,1,No Risk
5.7,78,55,No Risk
4.4,54,15,No Risk
4,90,63,No Risk
5.4,71,15,No Risk
7,69,45,No Risk
7.3,86,40,No Risk
7.6,87,15,No Risk
6.7,43,31,No Risk
6.5,67,35,No Risk
7.4,93,19,No Risk
6.6,78,21,No Risk
5.5,62,43,No Risk
6.3,42,53,No Risk
5.8,65,37,No Risk
6.5,83,53,No Risk
7.9,60,45,No Risk
5.1,42,20,No Risk
4.9,71,36,No Risk
7,40,21,No Risk
4.4,49,10,No Risk
5.9,82,3,No Risk
5.7,87,58,No Risk
5.5,96,6,No Risk
6.4,66,30,No Risk
6.7,62,27,No Risk
7.6,98,21,No Risk
6.4,87,10,No Risk
7,60,5,No Risk
7,93,58,No Risk
4.4,59,41,No Risk
7.4,88,9,No Risk
5.7,81,39,No Risk
6.1,85,1,No Risk
6.1,60,11,No Risk
6.3,59,44,No Risk
7.2,92,60,No Risk
4.8,46,22,No Risk
4.1,89,14,No Risk
6.1,61,50,No Risk
7.7,77,1,No Risk
7.6,81,63,No Risk
7,52,6,No Risk
6.2,47,29,No Risk
7.5,96,10,No Risk
6.6,69,45,No Risk
5.1,77,43,No Risk
6.8,43,39,No Risk
7.5,53,61,No Risk
7.2,63,26,No Risk
6.1,52,34,No Risk
6.5,47,24,No Risk
6,56,12,No Risk
4.1,56,42,No Risk
4.6,44,5,No Risk
5.8,52,65,No Risk
4.5,64,53,No Risk
4.3,90,29,No Risk
4.7,73,39,No Risk
6.3,65,49,No Risk
4.8,81,7,No Risk
5.4,67,38,No Risk
4.4,74,43,No Risk
7.2,83,58,No Risk
6.5,76,28,No Risk
4.7,70,48,No Risk
7.5,74,27,No Risk
4.4,94,29,No Risk
5,81,27,No Risk
7.7,77,52,No Risk
6.2,89,42,No Risk
6.7,46,18,No Risk
