SoilPh,RelativeHumidity,SoilTemperature,Fruit
6.8,43,2,Apple
6.6,34,28,Apple
6.1,38,15,Apple
6.3,36,16,Apple
6.1,33,6,Apple
6.6,37,28,Apple
6.4,49,8,Apple
6.5,48,9,Apple
6.3,50,26,Apple
6.7,39,16,Apple
6.5,43,9,Apple
6.3,46,9,Apple
6.3,42,15,Apple
6.7,49,17,Apple
6.6,39,21,Apple
6.9,39,2,Apple
6.5,47,13,Apple
6.8,34,11,Apple
6.5,47,11,Apple
6.4,47,14,Apple
6,46,29,Apple
6.1,34,7,Apple
6.9,33,28,Apple
6.2,37,32,Apple
6.1,39,1,Apple
6.1,32,4,Apple
6.8,49,2,Apple
6,40,26,Apple
6.4,34,12,Apple
6.8,42,8,Apple
6.7,42,25,Apple
6.4,34,17,Apple
6.8,40,12,Apple
6.1,32,16,Apple
6.6,42,12,Apple
6.1,41,27,Apple
7,50,9,Apple
6.8,47,10,Apple
6.7,44,11,Apple
6.1,47,26,Apple
6.5,46,11,Apple
6.5,45,10,Apple
6.4,36,26,Apple
6.6,43,20,Apple
6.9,47,20,Apple
6.5,41,13,Apple
6.1,39,21,Apple
6.4,40,24,Apple
6.3,47,4,Apple
6.8,33,25,Apple
6.2,33,4,Apple
6.1,34,15,Apple
6.2,39,19,Apple
6.9,42,3,Apple
6.9,38,11,Apple
6.7,39,31,Apple
6.2,42,22,Apple
6.9,31,21,Apple
6.7,37,27,Apple
6.8,47,2,Apple
6.1,37,8,Apple
6.3,40,28,Apple
6.7,49,11,Apple
6.5,48,24,Apple
6.8,36,15,Apple
6.1,39,24,Apple
6.1,35,6,Apple
6.1,32,7,Apple
6.7,33,4,Apple
6.2,49,10,Apple
6.6,37,13,Apple
6.3,40,7,Apple
6.6,47,14,Apple
6.5,43,18,Apple
6.3,46,8,Apple
6.1,42,7,Apple
6.2,34,20,Apple
6.1,33,17,Apple
6.2,48,6,Apple
6.4,37,30,Apple
6.1,38,6,Apple
6.5,48,4,Apple
6.2,40,7,Apple
6.6,47,12,Apple
6.6,36,8,Apple
6.6,46,3,Apple
6.5,32,19,Apple
6.7,42,21,Apple
6.9,46,28,Apple
6.9,46,3,Apple
