SoilPh,RelativeHumidity,SoilTemperature,Insect1,Insect2
5,91,2,Crown Borer,Raspberry Fruitworm
5.3,91,2,Crown Borer,Raspberry Fruitworm
5.1,91,2,Crown Borer,Raspberry Fruitworm
5.1,90,2,Crown Borer,Raspberry Fruitworm
5.4,90,0,Crown Borer,Raspberry Fruitworm
5.4,91,1,Crown Borer,Raspberry Fruitworm
5.1,90,2,Crown Borer,Raspberry Fruitworm
5.5,91,3,Crown Borer,Raspberry Fruitworm
5.2,90,4,Crown Borer,Raspberry Fruitworm
5.5,91,5,Crown Borer,Raspberry Fruitworm
5.2,90,5,Crown Borer,Raspberry Fruitworm
5.3,91,1,Crown Borer,Raspberry Fruitworm
5.2,91,4,Crown Borer,Raspberry Fruitworm
5.4,90,5,Crown Borer,Raspberry Fruitworm
5.2,91,4,Crown Borer,Raspberry Fruitworm
5.2,91,3,Crown Borer,Raspberry Fruitworm
5.3,91,3,Crown Borer,Raspberry Fruitworm
5.4,91,0,Crown Borer,Raspberry Fruitworm
5.4,91,4,Crown Borer,Raspberry Fruitworm
5.1,90,4,Crown Borer,Raspberry Fruitworm
5.3,91,5,Crown Borer,Raspberry Fruitworm
5.4,91,1,Crown Borer,Raspberry Fruitworm
5.3,91,5,Crown Borer,Raspberry Fruitworm
5.1,91,3,Crown Borer,Raspberry Fruitworm
5.1,90,2,Crown Borer,Raspberry Fruitworm
5,91,3,Crown Borer,Raspberry Fruitworm
5.4,90,1,Crown Borer,Raspberry Fruitworm
5.3,90,3,Crown Borer,Raspberry Fruitworm
5.1,91,5,Crown Borer,Raspberry Fruitworm
5.2,91,3,Crown Borer,Raspberry Fruitworm
5.3,90,2,Crown Borer,Raspberry Fruitworm
5,91,2,Crown Borer,Raspberry Fruitworm
5.3,90,1,Crown Borer,Raspberry Fruitworm
5.2,91,4,Crown Borer,Raspberry Fruitworm
5.2,90,5,Crown Borer,Raspberry Fruitworm
5.5,91,4,Crown Borer,Raspberry Fruitworm
5.4,91,0,Crown Borer,Raspberry Fruitworm
5.4,91,3,Crown Borer,Raspberry Fruitworm
5.4,90,0,Crown Borer,Raspberry Fruitworm
5.4,91,5,Crown Borer,Raspberry Fruitworm
5.2,91,3,Crown Borer,Raspberry Fruitworm
5.2,90,2,Crown Borer,Raspberry Fruitworm
5.1,90,1,Crown Borer,Raspberry Fruitworm
5.1,90,3,Crown Borer,Raspberry Fruitworm
5.4,91,2,Crown Borer,Raspberry Fruitworm
5.5,90,1,Crown Borer,Raspberry Fruitworm
5.2,91,2,Crown Borer,Raspberry Fruitworm
5.3,91,3,Crown Borer,Raspberry Fruitworm
5.3,91,5,Crown Borer,Raspberry Fruitworm
5.4,90,2,Crown Borer,Raspberry Fruitworm
5.3,91,4,Crown Borer,Raspberry Fruitworm
5.4,90,3,Crown Borer,Raspberry Fruitworm
5.2,90,3,Crown Borer,Raspberry Fruitworm
5.3,90,4,Crown Borer,Raspberry Fruitworm
5.3,90,3,Crown Borer,Raspberry Fruitworm
5,90,2,Crown Borer,Raspberry Fruitworm
5.5,90,2,Crown Borer,Raspberry Fruitworm
5.4,91,0,Crown Borer,Raspberry Fruitworm
5.3,91,0,Crown Borer,Raspberry Fruitworm
5.1,90,0,Crown Borer,Raspberry Fruitworm
5.5,91,3,Crown Borer,Raspberry Fruitworm
5.2,90,4,Crown Borer,Raspberry Fruitworm
5.4,91,0,Crown Borer,Raspberry Fruitworm
5.1,91,3,Crown Borer,Raspberry Fruitworm
5.3,90,1,Crown Borer,Raspberry Fruitworm
5.4,90,1,Crown Borer,Raspberry Fruitworm
5.5,91,3,Crown Borer,Raspberry Fruitworm
5.2,90,5,Crown Borer,Raspberry Fruitworm
5.2,91,4,Crown Borer,Raspberry Fruitworm
5.2,91,2,Crown Borer,Raspberry Fruitworm
5.2,90,2,Crown Borer,Raspberry Fruitworm
5.3,90,5,Crown Borer,Raspberry Fruitworm
5.5,91,0,Crown Borer,Raspberry Fruitworm
5,90,1,Crown Borer,Raspberry Fruitworm
5.3,90,0,Crown Borer,Raspberry Fruitworm
5.1,91,2,Crown Borer,Raspberry Fruitworm
5,90,4,Crown Borer,Raspberry Fruitworm
5.4,90,3,Crown Borer,Raspberry Fruitworm
5.3,90,3,Crown Borer,Raspberry Fruitworm
5.1,91,3,Crown Borer,Raspberry Fruitworm
5.3,90,0,Crown Borer,Raspberry Fruitworm
5,90,0,Crown Borer,Raspberry Fruitworm
5.4,91,1,Crown Borer,Raspberry Fruitworm
5.5,91,4,Crown Borer,Raspberry Fruitworm
5.4,91,2,Crown Borer,Raspberry Fruitworm
5.4,90,4,Crown Borer,Raspberry Fruitworm
5.1,90,5,Crown Borer,Raspberry Fruitworm
5.1,90,1,Crown Borer,Raspberry Fruitworm
5.4,91,1,Crown Borer,Raspberry Fruitworm
5.2,90,0,Crown Borer,Raspberry Fruitworm
5.3,90,1,Crown Borer,Raspberry Fruitworm
5.4,90,4,Crown Borer,Raspberry Fruitworm
5.5,90,4,Crown Borer,Raspberry Fruitworm
5.3,91,2,Crown Borer,Raspberry Fruitworm
5.3,91,3,Crown Borer,Raspberry Fruitworm
5.3,91,5,Crown Borer,Raspberry Fruitworm
5.4,91,3,Crown Borer,Raspberry Fruitworm
5.4,91,5,Crown Borer,Raspberry Fruitworm
5.5,91,3,Crown Borer,Raspberry Fruitworm
5.1,90,1,Crown Borer,Raspberry Fruitworm
6,93,8,Cane Borer,Aphids
5.6,92,6,Cane Borer,Aphids
5.7,93,6,Cane Borer,Aphids
5.6,93,7,Cane Borer,Aphids
5.7,92,8,Cane Borer,Aphids
5.9,92,7,Cane Borer,Aphids
5.7,93,10,Cane Borer,Aphids
5.8,93,9,Cane Borer,Aphids
6,93,7,Cane Borer,Aphids
5.8,92,9,Cane Borer,Aphids
5.7,92,8,Cane Borer,Aphids
5.7,92,10,Cane Borer,Aphids
5.9,93,9,Cane Borer,Aphids
6,93,6,Cane Borer,Aphids
6,92,8,Cane Borer,Aphids
6,93,7,Cane Borer,Aphids
5.7,93,10,Cane Borer,Aphids
6,92,6,Cane Borer,Aphids
5.7,93,9,Cane Borer,Aphids
6,92,9,Cane Borer,Aphids
5.7,92,9,Cane Borer,Aphids
5.8,92,8,Cane Borer,Aphids
5.6,93,6,Cane Borer,Aphids
5.8,92,7,Cane Borer,Aphids
5.8,93,10,Cane Borer,Aphids
5.7,93,6,Cane Borer,Aphids
5.7,92,7,Cane Borer,Aphids
5.7,92,7,Cane Borer,Aphids
5.7,93,10,Cane Borer,Aphids
5.7,92,7,Cane Borer,Aphids
5.8,93,6,Cane Borer,Aphids
5.9,93,7,Cane Borer,Aphids
5.7,93,7,Cane Borer,Aphids
5.6,92,8,Cane Borer,Aphids
5.8,92,7,Cane Borer,Aphids
