Id,SoilPh,RelativeHumidity,SoilTemperature,Vegetable
1,6.5,93,14,Cabbage
2,6.9,92,17,Cabbage
3,6.7,92,24,Cabbage
4,6.3,90,15,Cabbage
5,6.3,91,18,Cabbage
6,6.5,95,14,Cabbage
7,6.4,94,16,Cabbage
8,7.5,90,17,Cabbage
9,6.7,92,18,Cabbage
10,6.3,91,14,Cabbage
11,7.2,90,21,Cabbage
12,7.4,94,19,Cabbage
13,7.2,95,17,Cabbage
14,6.8,92,20,Cabbage
15,7.1,94,20,Cabbage
16,7.4,94,24,Cabbage
17,6,92,13,Cabbage
18,6.9,94,16,Cabbage
19,6.6,92,22,Cabbage
20,6.6,93,22,Cabbage
21,6.5,95,22,Cabbage
22,6.1,93,13,Cabbage
23,7.3,91,17,Cabbage
24,7.4,93,21,Cabbage
25,7,90,15,Cabbage
26,6,92,22,Cabbage
27,6.9,91,23,Cabbage
28,6.4,92,21,Cabbage
29,7,95,17,Cabbage
30,7.3,93,21,Cabbage
31,6.7,93,24,Cabbage
32,7.3,93,17,Cabbage
33,6.8,92,16,Cabbage
34,6.5,94,21,Cabbage
35,7,94,16,Cabbage
36,6.7,91,22,Cabbage
37,6.8,92,18,Cabbage
38,6.2,95,21,Cabbage
39,7.2,95,17,Cabbage
40,6.2,91,18,Cabbage
41,7.2,91,20,Cabbage
42,7,93,20,Cabbage
43,6.1,93,24,Cabbage
44,7.3,92,20,Cabbage
45,6.5,94,15,Cabbage
46,6.8,91,16,Cabbage
47,6.2,94,15,Cabbage
48,6.4,90,16,Cabbage
49,6.9,93,19,Cabbage
50,6.6,94,23,Cabbage
51,6.1,94,17,Cabbage
52,6.9,91,22,Cabbage
53,7,94,22,Cabbage
54,6.6,92,17,Cabbage
55,7.1,93,16,Cabbage
56,6.2,93,21,Cabbage
57,6.4,94,14,Cabbage
58,7.5,92,18,Cabbage
59,6.2,91,14,Cabbage
60,6.9,91,14,Cabbage
61,6.1,91,13,Cabbage
62,7.3,91,23,Cabbage
63,7.5,95,20,Cabbage
64,6.3,91,21,Cabbage
65,6.7,93,15,Cabbage
66,7.4,94,17,Cabbage
67,7.1,92,14,Cabbage
68,7.1,94,21,Cabbage
69,6.5,93,16,Cabbage
70,6,94,21,Cabbage
71,6.6,90,19,Cabbage
72,7.3,92,20,Cabbage
73,7.1,94,21,Cabbage
74,6.9,95,19,Cabbage
75,6.7,90,20,Cabbage
76,6.5,93,21,Cabbage
77,7.4,94,19,Cabbage
78,6.4,95,21,Cabbage
79,6.1,94,16,Cabbage
80,7.1,95,14,Cabbage
81,6.5,92,18,Cabbage
82,7.5,91,20,Cabbage
83,6.2,93,16,Cabbage
84,7.4,94,14,Cabbage
85,7.2,92,18,Cabbage
86,6.8,90,14,Cabbage
87,6.5,94,14,Cabbage
88,6.6,94,18,Cabbage
89,6,90,19,Cabbage
90,6.1,90,14,Cabbage
91,7.4,92,21,Cabbage
92,6.5,91,19,Cabbage
93,6.7,93,15,Cabbage
94,7.4,94,15,Cabbage
95,6.5,92,20,Cabbage
96,7.5,91,16,Cabbage
97,6.5,95,22,Cabbage
98,7.3,94,19,Cabbage
99,6.2,93,13,Cabbage
100,6.2,90,24,Cabbage
101,6.1,92,23,Cabbage
102,6.1,93,23,Cabbage
103,6.6,91,16,Cabbage
104,7.2,91,18,Cabbage
105,7.1,93,18,Cabbage
106,6.4,92,19,Cabbage
107,7.2,94,14,Cabbage
108,7.3,93,19,Cabbage
109,7.4,92,15,Cabbage
110,6.2,94,20,Cabbage
111,7,92,17,Cabbage
112,7,93,23,Cabbage
113,6.4,93,18,Cabbage
114,6.7,94,17,Cabbage
115,6.1,92,13,Cabbage
116,7.2,95,23,Cabbage
117,6.3,94,20,Cabbage
118,7.3,91,13,Cabbage
119,7.3,93,21,Cabbage
120,7.3,91,19,Cabbage
121,7,92,18,Cabbage
122,6.8,90,16,Cabbage
123,6.6,94,16,Cabbage
124,7,95,23,Cabbage
125,6,94,19,Cabbage
126,6.1,92,15,Cabbage
127,6.3,93,17,Cabbage
